perimetre,millesime,tarif,rang,taux_taxation,composante_carbone,boucliers_et_aides,prix_quotas_ets,prix_reel_quotas_ets,remboursement_indirect_ets,quantite,unite_tarif,unite_quantite
Carbone,2015,10.70895477,1,3.089304257528557,0.0,0.0,7.619650512909028,0.0,0.0,0.172003415,euro/tCO2,MtCO2
Carbone,2015,10.70895477,2,3.089304257528557,0.0,0.0,7.619650512909028,7.619650512909028,0.0,0.019761549,euro/tCO2,MtCO2
Carbone,2015,10.892477796,1,3.272827282728273,0.0,0.0,7.619650512909028,0.0,0.0,0.073193167,euro/tCO2,MtCO2
Carbone,2015,10.892477796,2,3.272827282728273,0.0,0.0,7.619650512909028,7.619650512909028,0.0,0.009425446,euro/tCO2,MtCO2
Carbone,2015,11.113895286,1,3.494244773314541,0.0,0.0,7.619650512909028,0.0,0.0,0.658864956,euro/tCO2,MtCO2
Carbone,2015,11.113895286,2,3.494244773314541,0.0,0.0,7.619650512909028,7.619650512909028,0.0,0.067115067,euro/tCO2,MtCO2
Carbone,2015,13.015144452,1,13.01514445180175,14.5,0.0,0.0,0.0,0.0,27.538046993,euro/tCO2,MtCO2
Carbone,2015,13.144530083,1,13.14453008304953,14.5,0.0,0.0,0.0,0.0,14.310563248,euro/tCO2,MtCO2
Carbone,2015,13.544647028,1,5.924996514707932,0.0,0.0,7.619650512909028,7.619650512909028,0.0,10.859246724,euro/tCO2,MtCO2
Carbone,2015,13.544647028,2,5.924996514707932,0.0,0.0,7.619650512909028,0.0,0.0,10.477186053,euro/tCO2,MtCO2
Carbone,2015,14.38643382,1,14.38643381985151,0.0,0.0,0.0,0.0,0.0,8.667910938,euro/tCO2,MtCO2
Carbone,2015,14.519230769,1,14.51923076923077,14.5,0.0,0.0,0.0,0.0,0.2434373,euro/tCO2,MtCO2
Carbone,2015,15.88297385,1,15.88297385035152,14.5,0.0,0.0,0.0,0.0,0.805138192,euro/tCO2,MtCO2
Carbone,2015,16.5,1,0.0,0.0,0.0,16.5,0.0,0.0,15.274512162,euro/tCO2,MtCO2
Carbone,2015,20.764180596,1,13.14453008304953,14.5,0.0,7.619650512909028,0.0,0.0,1.7336455,euro/tCO2,MtCO2
Carbone,2015,20.764180596,2,13.14453008304953,14.5,0.0,7.619650512909028,7.619650512909028,0.0,0.070075105,euro/tCO2,MtCO2
Carbone,2015,22.138881282,1,14.51923076923077,14.5,0.0,7.619650512909028,0.0,0.0,0.499200153,euro/tCO2,MtCO2
Carbone,2015,22.138881282,2,14.51923076923077,14.5,0.0,7.619650512909028,7.619650512909028,0.0,0.053229342,euro/tCO2,MtCO2
Carbone,2015,28.198235904,1,28.19823590423352,14.5,0.0,0.0,0.0,0.0,14.049507007,euro/tCO2,MtCO2
Carbone,2015,28.478559074,1,28.47855907437228,14.5,0.0,0.0,0.0,0.0,8.24818367,euro/tCO2,MtCO2
Carbone,2015,29.05,1,29.05,0.0,0.0,0.0,0.0,0.0,11.185554107,euro/tCO2,MtCO2
Carbone,2015,35.663662121,1,35.66366212107381,14.5,0.0,0.0,0.0,0.0,2.906915145,euro/tCO2,MtCO2
Carbone,2015,36.098209587,1,28.47855907437228,14.5,0.0,7.619650512909028,0.0,0.0,0.157189705,euro/tCO2,MtCO2
Carbone,2015,36.098209587,2,28.47855907437228,14.5,0.0,7.619650512909028,7.619650512909028,0.0,0.014226964,euro/tCO2,MtCO2
Carbone,2015,40.406751357,1,40.40675135683188,14.5,0.0,0.0,0.0,0.0,1.642972429,euro/tCO2,MtCO2
Carbone,2015,43.283312634,1,35.66366212107381,14.5,0.0,7.619650512909028,0.0,0.0,0.098299799,euro/tCO2,MtCO2
Carbone,2015,43.283312634,2,35.66366212107381,14.5,0.0,7.619650512909028,7.619650512909028,0.0,0.010123148,euro/tCO2,MtCO2
Carbone,2015,48.02640187,1,40.40675135683188,14.5,0.0,7.619650512909028,0.0,0.0,0.423757929,euro/tCO2,MtCO2
Carbone,2015,48.02640187,2,40.40675135683188,14.5,0.0,7.619650512909028,7.619650512909028,0.0,0.064203949,euro/tCO2,MtCO2
Carbone,2015,53.322967565,1,53.32296756547186,14.5,0.0,0.0,0.0,0.0,0.225597481,euro/tCO2,MtCO2
Carbone,2015,112.572314666,1,112.5723146657124,0.0,0.0,0.0,0.0,0.0,0.402255116,euro/tCO2,MtCO2
Carbone,2015,146.083079859,1,146.0830798592473,0.0,0.0,0.0,0.0,0.0,2.29408507,euro/tCO2,MtCO2
Carbone,2015,150.219488665,1,150.2194886649554,14.5,0.0,0.0,0.0,0.0,0.487012079,euro/tCO2,MtCO2
Carbone,2015,150.788237077,1,150.7882370774595,14.5,0.0,0.0,0.0,0.0,1.311129414,euro/tCO2,MtCO2
Carbone,2015,154.785994604,1,154.7859946038754,0.0,0.0,0.0,0.0,0.0,0.02588629,euro/tCO2,MtCO2
Carbone,2015,160.993320212,1,160.9933202123218,0.0,0.0,0.0,0.0,0.0,18.770239561,euro/tCO2,MtCO2
