perimetre,dimension,regime,categorie,millesime,part,source
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2014,0.3093296180503027,observe
Carbone,Agents,GPL - Carburant,Ménages,2014,0.6906703819496973,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2015,0.35528855111318103,observe
Carbone,Agents,GPL - Carburant,Ménages,2015,0.6447114488868191,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2016,0.3683239194162035,observe
Carbone,Agents,GPL - Carburant,Ménages,2016,0.6316760805837964,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2017,0.37188929859517705,observe
Carbone,Agents,GPL - Carburant,Ménages,2017,0.628110701404823,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2018,0.3409539410708892,observe
Carbone,Agents,GPL - Carburant,Ménages,2018,0.6590460589291107,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2019,0.3832914997514439,observe
Carbone,Agents,GPL - Carburant,Ménages,2019,0.6167085002485561,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2020,0.4507327210429896,observe
Carbone,Agents,GPL - Carburant,Ménages,2020,0.5492672789570104,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2021,0.3795224811034838,observe
Carbone,Agents,GPL - Carburant,Ménages,2021,0.6204775188965163,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2022,0.18666057593427318,observe
Carbone,Agents,GPL - Carburant,Ménages,2022,0.8133394240657268,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2023,0.18666057593427343,observe
Carbone,Agents,GPL - Carburant,Ménages,2023,0.8133394240657266,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2024*,0.18666057593427343,observe
Carbone,Agents,GPL - Carburant,Ménages,2024*,0.8133394240657266,observe
Carbone,Agents,GPL - Combustible,Entreprises et administrations,2019,0.45964101603142365,observe
Carbone,Agents,GPL - Combustible,Ménages,2019,0.5403589839685763,observe
Carbone,Agents,GPL - Combustible,Entreprises et administrations,2020,0.4362626594348854,observe
Carbone,Agents,GPL - Combustible,Ménages,2020,0.5637373405651146,observe
Carbone,Agents,GPL - Combustible,Entreprises et administrations,2021,0.39483198734803304,observe
Carbone,Agents,GPL - Combustible,Ménages,2021,0.605168012651967,observe
Carbone,Agents,GPL - Combustible,Entreprises et administrations,2022,0.401016277660965,observe
Carbone,Agents,GPL - Combustible,Ménages,2022,0.5989837223390351,observe
Carbone,Agents,GPL - Combustible,Entreprises et administrations,2023,0.4299395478506665,observe
Carbone,Agents,GPL - Combustible,Ménages,2023,0.5700604521493334,observe
Carbone,Agents,GPL - Combustible,Entreprises et administrations,2024*,0.4299395478506665,observe
Carbone,Agents,GPL - Combustible,Ménages,2024*,0.5700604521493334,observe
Carbone,Agents,GPL - Double usage,Entreprises et administrations,,1.0,observe
Carbone,Agents,GPL - Prod. Electricité,Entreprises et administrations,,1.0,observe
Carbone,Agents,GPL - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Agriculture,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2014,0.7020326125225382,observe
Carbone,Agents,Gaz - Carburant,Ménages,2014,0.2979673874774618,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2015,0.7120673254212605,observe
Carbone,Agents,Gaz - Carburant,Ménages,2015,0.2879326745787396,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2016,0.7058598846398946,observe
Carbone,Agents,Gaz - Carburant,Ménages,2016,0.2941401153601055,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2017,0.7003724297588315,observe
Carbone,Agents,Gaz - Carburant,Ménages,2017,0.29962757024116854,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2018,0.6663306460990118,observe
Carbone,Agents,Gaz - Carburant,Ménages,2018,0.3336693539009882,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2019,0.5770247380391511,observe
Carbone,Agents,Gaz - Carburant,Ménages,2019,0.42297526196084895,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2020,0.4896325679476978,observe
Carbone,Agents,Gaz - Carburant,Ménages,2020,0.5103674320523021,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2021,0.46519928695289364,observe
Carbone,Agents,Gaz - Carburant,Ménages,2021,0.5348007130471064,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2022,0.3882465162524047,observe
Carbone,Agents,Gaz - Carburant,Ménages,2022,0.6117534837475952,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2023,0.3882465162524047,observe
Carbone,Agents,Gaz - Carburant,Ménages,2023,0.6117534837475952,observe
Carbone,Agents,Gaz - Carburant,Entreprises et administrations,2024*,0.3882465162524047,observe
Carbone,Agents,Gaz - Carburant,Ménages,2024*,0.6117534837475952,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2014,0.06886099138692356,observe
Carbone,Agents,Gaz - Combustible,Ménages,2014,0.9311390086130764,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2015,0.36915059380039017,observe
Carbone,Agents,Gaz - Combustible,Ménages,2015,0.6308494061996098,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2016,0.3598586667658736,observe
Carbone,Agents,Gaz - Combustible,Ménages,2016,0.6401413332341265,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2017,0.36960796475639945,observe
Carbone,Agents,Gaz - Combustible,Ménages,2017,0.6303920352436004,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2018,0.38389568417591835,observe
Carbone,Agents,Gaz - Combustible,Ménages,2018,0.6161043158240816,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2019,0.3820934183100012,observe
Carbone,Agents,Gaz - Combustible,Ménages,2019,0.6179065816899988,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2020,0.369292216588028,observe
Carbone,Agents,Gaz - Combustible,Ménages,2020,0.630707783411972,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2021,0.38078691533214293,observe
Carbone,Agents,Gaz - Combustible,Ménages,2021,0.6192130846678572,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2022,0.39842447723037255,observe
Carbone,Agents,Gaz - Combustible,Ménages,2022,0.6015755227696273,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2023,0.4028552912753842,observe
Carbone,Agents,Gaz - Combustible,Ménages,2023,0.5971447087246158,observe
Carbone,Agents,Gaz - Combustible,Entreprises et administrations,2024*,0.4028552912753842,observe
Carbone,Agents,Gaz - Combustible,Ménages,2024*,0.5971447087246158,observe
Carbone,Agents,Gaz - Double usage,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Grande consommation et fuite carbone,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Grande consommation et quotas ETS,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Prod. Electricité,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Prod. produits énergétiques,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz - Usage autre que carburant ou combustible,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gaz de raffinerie,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gazole - Taxis,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gazole - Transport marchandises,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gazole - Transport public,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2014,0.3286462626165997,observe
Carbone,Agents,Gazole - transport routier,Ménages,2014,0.6713537373834003,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2015,0.3288465091795948,observe
Carbone,Agents,Gazole - transport routier,Ménages,2015,0.6711534908204053,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2016,0.3161335370078989,observe
Carbone,Agents,Gazole - transport routier,Ménages,2016,0.6838664629921012,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2017,0.31999134497772247,observe
Carbone,Agents,Gazole - transport routier,Ménages,2017,0.6800086550222776,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2018,0.31315975395199613,observe
Carbone,Agents,Gazole - transport routier,Ménages,2018,0.686840246048004,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2019,0.3183953550384373,observe
Carbone,Agents,Gazole - transport routier,Ménages,2019,0.6816046449615628,observe
