perimetre,regime,produit,millesime,part,source
Energie,Essence - Taxis,Pétrole,2022,0.9432359377011202,observe
Energie,Essence - Taxis,Chaleur et biomasse,2023,0.05676406229887967,observe
Energie,Essence - Taxis,Pétrole,2023,0.9432359377011202,observe
Energie,Essence - Taxis,Chaleur et biomasse,2024*,0.05676406229887967,observe
Energie,Essence - Taxis,Pétrole,2024*,0.9432359377011202,observe
Energie,Essence - transport routier,Chaleur et biomasse,2017,0.03625173339684915,observe
Energie,Essence - transport routier,Pétrole,2017,0.9637482666031508,observe
Energie,Essence - transport routier,Chaleur et biomasse,2018,0.035698446806404265,observe
Energie,Essence - transport routier,Pétrole,2018,0.9643015531935958,observe
Energie,Essence - transport routier,Chaleur et biomasse,2019,0.03480943739494979,observe
Energie,Essence - transport routier,Pétrole,2019,0.9651905626050502,observe
Energie,Essence - transport routier,Chaleur et biomasse,2020,0.03338089366006105,observe
Energie,Essence - transport routier,Pétrole,2020,0.966619106339939,observe
Energie,Essence - transport routier,Chaleur et biomasse,2021,0.032595352647276775,observe
Energie,Essence - transport routier,Pétrole,2021,0.9674046473527232,observe
Energie,Essence - transport routier,Chaleur et biomasse,2022,0.0317177022662044,observe
Energie,Essence - transport routier,Pétrole,2022,0.9682822977337957,observe
Energie,Essence - transport routier,Chaleur et biomasse,2023,0.029975962643674494,observe
Energie,Essence - transport routier,Pétrole,2023,0.9700240373563256,observe
Energie,Essence - transport routier,Chaleur et biomasse,2024*,0.029846268555995526,observe
Energie,Essence - transport routier,Pétrole,2024*,0.9701537314440045,observe
Energie,Exemption fabrication de minéraux non-métalliques,Électricité,,1.0,intitule
Energie,"Exemption procédés métallurgiques, réduction chimique, électrolyse",Électricité,,1.0,intitule
Energie,Exonération pour la production d'électricité,Électricité,,1.0,intitule
Energie,Fioul domestique - Double usage,Pétrole,,1.0,observe
Energie,Fioul domestique - Prod. min. non métalliques,Pétrole,,1.0,observe
Energie,Fioul domestique combustible,Pétrole,,1.0,observe
Energie,Fioul lourd - Agriculture,Pétrole,,1.0,observe
Energie,Fioul lourd - Bateaux,Pétrole,,1.0,intitule
Energie,Fioul lourd - Combustible,Pétrole,,1.0,observe
Energie,Fioul lourd - Double usage,Pétrole,,1.0,observe
Energie,Fioul lourd - Prod. min. non métalliques,Pétrole,,1.0,observe
Energie,GPL - Agriculture,Pétrole,,1.0,observe
Energie,GPL - Carburant,Pétrole,,1.0,observe
Energie,GPL - Combustible,Pétrole,,1.0,observe
Energie,GPL - Double usage,Pétrole,,1.0,observe
Energie,GPL - Prod. min. non métalliques,Pétrole,,1.0,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2017,0.13306936314314488,observe
Energie,Gaz - Agriculture,Gaz,2017,0.8669306368568551,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2018,0.1444773357008442,observe
Energie,Gaz - Agriculture,Gaz,2018,0.8555226642991558,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2019,0.16593444705773983,observe
Energie,Gaz - Agriculture,Gaz,2019,0.8340655529422601,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2020,0.18301912649663235,observe
Energie,Gaz - Agriculture,Gaz,2020,0.8169808735033677,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2021,0.1975328360424457,observe
Energie,Gaz - Agriculture,Gaz,2021,0.8024671639575544,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2022,0.28918454532081467,observe
Energie,Gaz - Agriculture,Gaz,2022,0.7108154546791853,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2023,0.28918454532081467,observe
Energie,Gaz - Agriculture,Gaz,2023,0.7108154546791853,observe
Energie,Gaz - Agriculture,Chaleur et biomasse,2024*,0.28918454532081467,observe
Energie,Gaz - Agriculture,Gaz,2024*,0.7108154546791853,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2017,0.017919214871744072,observe
Energie,Gaz - Carburant,Gaz,2017,0.9820807851282559,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2018,0.018334372125986903,observe
Energie,Gaz - Carburant,Gaz,2018,0.9816656278740131,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2019,0.019589414986465083,observe
Energie,Gaz - Carburant,Gaz,2019,0.9804105850135348,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2020,0.021478009159206835,observe
Energie,Gaz - Carburant,Gaz,2020,0.9785219908407933,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2021,0.016419762345092147,observe
Energie,Gaz - Carburant,Gaz,2021,0.9835802376549079,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2022,0.015619843910707882,observe
Energie,Gaz - Carburant,Gaz,2022,0.9843801560892921,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2023,0.015619843910707882,observe
Energie,Gaz - Carburant,Gaz,2023,0.9843801560892921,observe
Energie,Gaz - Carburant,Chaleur et biomasse,2024*,0.015619843910707882,observe
Energie,Gaz - Carburant,Gaz,2024*,0.9843801560892921,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2017,0.00584601090655309,observe
Energie,Gaz - Combustible,Gaz,2017,0.994153989093447,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2018,0.006183802831528958,observe
Energie,Gaz - Combustible,Gaz,2018,0.993816197168471,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2019,0.0067515959947156284,observe
Energie,Gaz - Combustible,Gaz,2019,0.9932484040052844,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2020,0.0076491366240847266,observe
Energie,Gaz - Combustible,Gaz,2020,0.9923508633759153,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2021,0.007188254709865617,observe
Energie,Gaz - Combustible,Gaz,2021,0.9928117452901344,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2022,0.008927376782878159,observe
Energie,Gaz - Combustible,Gaz,2022,0.9910726232171219,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2023,0.008999870721383004,observe
Energie,Gaz - Combustible,Gaz,2023,0.9910001292786169,observe
Energie,Gaz - Combustible,Chaleur et biomasse,2024*,0.008999870721383004,observe
Energie,Gaz - Combustible,Gaz,2024*,0.9910001292786169,observe
Energie,Gaz - Double usage,Gaz,,1.0,intitule
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2017,0.002448481201544997,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2017,0.997551518798455,observe
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2018,0.0022381882879022063,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2018,0.9977618117120978,observe
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2019,0.003068620311328607,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2019,0.9969313796886715,observe
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2020,0.003434352151935819,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2020,0.9965656478480641,observe
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2021,0.0038654891166433197,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2021,0.9961345108833566,observe
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2022,0.006664399979405476,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2022,0.9933356000205945,observe
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2023,0.006624241617462526,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2023,0.9933757583825374,observe
