perimetre,millesime,dimension,tarif,categorie,quantite,quantite_cumulee,unite_tarif,unite_quantite
Carbone,2016,Agents,146.0830798592473,Entreprises et administrations,2.397802597592688,358.0711041410274,euro/tCO2,MtCO2
Carbone,2016,Agents,150.7882370774595,Entreprises et administrations,0.8856427054,358.9567468464274,euro/tCO2,MtCO2
Carbone,2016,Agents,154.7859946038754,Entreprises et administrations,0.03330531649792001,358.9900521629253,euro/tCO2,MtCO2
Carbone,2016,Agents,157.8480025960228,Ménages,0.5314403486376403,359.521492511563,euro/tCO2,MtCO2
Carbone,2016,Agents,160.9933202123218,Entreprises et administrations,19.703512875476,379.225005387039,euro/tCO2,MtCO2
Carbone,2016,Agents,185.6697679966601,Entreprises et administrations,0.6826950453339076,379.9077004323729,euro/tCO2,MtCO2
Carbone,2016,Agents,185.6697679966601,Ménages,1.476819733754051,381.3845201661269,euro/tCO2,MtCO2
Carbone,2016,Agents,190.7019741158228,Entreprises et administrations,24.33676770900174,405.7212878751287,euro/tCO2,MtCO2
Carbone,2016,Agents,190.7019741158228,Ménages,52.64578826826448,458.3670761433932,euro/tCO2,MtCO2
Carbone,2016,Agents,237.5878617335646,Entreprises et administrations,0.2874960661714028,458.6545722095646,euro/tCO2,MtCO2
Carbone,2016,Agents,237.5878617335646,Ménages,0.3039969419659563,458.9585691515305,euro/tCO2,MtCO2
Carbone,2016,Agents,242.5847881132361,Entreprises et administrations,0.02236453375793731,458.9809336852884,euro/tCO2,MtCO2
Carbone,2016,Agents,242.5847881132361,Ménages,0.02364814921277559,459.0045818345013,euro/tCO2,MtCO2
Carbone,2016,Agents,245.3457512555552,Entreprises et administrations,0.3493923054750648,459.3539741399763,euro/tCO2,MtCO2
Carbone,2016,Agents,245.3457512555552,Ménages,0.3694457243374277,459.7234198643138,euro/tCO2,MtCO2
Carbone,2016,Agents,270.7610013685491,Entreprises et administrations,0.6367786293725091,460.3601984936863,euro/tCO2,MtCO2
Carbone,2016,Agents,270.7610013685491,Ménages,6.589201486760166,466.9493999804464,euro/tCO2,MtCO2
Carbone,2016,Agents,276.4556222151393,Entreprises et administrations,0.076688269798699,467.0260882502451,euro/tCO2,MtCO2
Carbone,2016,Agents,276.4556222151393,Ménages,0.7935480841632457,467.8196363344084,euro/tCO2,MtCO2
Carbone,2016,Agents,279.6020840743495,Entreprises et administrations,1.198070645150461,469.0177069795589,euro/tCO2,MtCO2
Carbone,2016,Agents,279.6020840743495,Ménages,12.39728928096773,481.4149962605266,euro/tCO2,MtCO2
Carbone,2017,Agents,0.0,Entreprises et administrations,115.8122145957593,115.8122145957593,euro/tCO2,MtCO2
Carbone,2017,Agents,0.0,Ménages,8.300653048320093,124.1128676440794,euro/tCO2,MtCO2
Carbone,2017,Agents,0.5924996514707932,Entreprises et administrations,0.3858068632320003,124.4986745073114,euro/tCO2,MtCO2
Carbone,2017,Agents,0.5947293447293448,Entreprises et administrations,0.06240156000000004,124.5610760673114,euro/tCO2,MtCO2
Carbone,2017,Agents,3.089304257528557,Entreprises et administrations,0.1542500632151898,124.7153261305266,euro/tCO2,MtCO2
Carbone,2017,Agents,3.272827282728273,Entreprises et administrations,0.02365840477712224,124.7389845353037,euro/tCO2,MtCO2
Carbone,2017,Agents,3.494244773314541,Entreprises et administrations,0.6222007391557044,125.3611852744594,euro/tCO2,MtCO2
Carbone,2017,Agents,4.08,Entreprises et administrations,8.52042985997791,133.8816151344373,euro/tCO2,MtCO2
Carbone,2017,Agents,5.77345209116945,Entreprises et administrations,80.88658522621753,214.7682003606548,euro/tCO2,MtCO2
Carbone,2017,Agents,7.568062775089124,Entreprises et administrations,0.6992765445892865,215.4674769052441,euro/tCO2,MtCO2
Carbone,2017,Agents,7.966381868514868,Entreprises et administrations,0.7023674271929499,216.1698443324371,euro/tCO2,MtCO2
Carbone,2017,Agents,8.862756348698007,Entreprises et administrations,0.1640256122558776,216.333869944693,euro/tCO2,MtCO2
Carbone,2017,Agents,9.046279373897724,Entreprises et administrations,0.03135371293651584,216.3652236576295,euro/tCO2,MtCO2
Carbone,2017,Agents,9.267696864483991,Entreprises et administrations,0.8788128247009432,217.2440364823304,euro/tCO2,MtCO2
Carbone,2017,Agents,13.34151486625857,Entreprises et administrations,33.88931119060587,251.1333476729363,euro/tCO2,MtCO2
Carbone,2017,Agents,14.38625582107005,Entreprises et administrations,8.695812117341976,259.8291597902783,euro/tCO2,MtCO2
Carbone,2017,Agents,16.5,Entreprises et administrations,10.841458824,270.6706186142783,euro/tCO2,MtCO2
Carbone,2017,Agents,16.5,Ménages,3.584812905,274.2554315192783,euro/tCO2,MtCO2
Carbone,2017,Agents,28.989737198124,Ménages,28.94594026758899,303.2013717868673,euro/tCO2,MtCO2
Carbone,2017,Agents,29.05,Entreprises et administrations,11.39276542371686,314.5941372105841,euro/tCO2,MtCO2
Carbone,2017,Agents,29.27645336679214,Entreprises et administrations,15.90356587061948,330.4977030812036,euro/tCO2,MtCO2
Carbone,2017,Agents,29.82414212025254,Entreprises et administrations,0.6152958689917569,331.1129989501954,euro/tCO2,MtCO2
Carbone,2017,Agents,29.82414212025254,Ménages,0.263230816023,331.3762297662184,euro/tCO2,MtCO2
Carbone,2017,Agents,30.57692307692307,Entreprises et administrations,0.1567586924069818,331.5329884586254,euro/tCO2,MtCO2
Carbone,2017,Agents,35.04990545796159,Entreprises et administrations,1.067857421760205,332.6008458803856,euro/tCO2,MtCO2
Carbone,2017,Agents,36.35037516809253,Entreprises et administrations,0.4736866240215136,333.074532504407,euro/tCO2,MtCO2
Carbone,2017,Agents,43.88663898197647,Ménages,12.80333224374084,345.8778647481479,euro/tCO2,MtCO2
Carbone,2017,Agents,44.32068944951394,Entreprises et administrations,7.194682826411504,353.0725475745594,euro/tCO2,MtCO2
Carbone,2017,Agents,49.64187881854744,Entreprises et administrations,2.933267360477227,356.0058149350367,euro/tCO2,MtCO2
Carbone,2017,Agents,50.09414154068339,Entreprises et administrations,0.1377267832225842,356.1435417182592,euro/tCO2,MtCO2
Carbone,2017,Agents,54.54960703623464,Entreprises et administrations,0.009197270463195207,356.1527389887224,euro/tCO2,MtCO2
Carbone,2017,Agents,54.54960703623464,Ménages,0.07878636612661818,356.2315253548491,euro/tCO2,MtCO2
Carbone,2017,Agents,55.41533090971689,Entreprises et administrations,0.09308729616184738,356.3246126510109,euro/tCO2,MtCO2
Carbone,2017,Agents,56.24888173197353,Entreprises et administrations,2.022617084200146,358.347229735211,euro/tCO2,MtCO2
Carbone,2017,Agents,62.02233382314298,Entreprises et administrations,0.1159748003720031,358.463204535583,euro/tCO2,MtCO2
Carbone,2017,Agents,67.6791511407912,Entreprises et administrations,0.06810596668174648,358.5313105022648,euro/tCO2,MtCO2
Carbone,2017,Agents,67.6791511407912,Ménages,0.1150290870533805,358.6463395893181,euro/tCO2,MtCO2
Carbone,2017,Agents,112.5723146657124,Entreprises et administrations,0.4140298253515679,359.0603694146697,euro/tCO2,MtCO2
Carbone,2017,Agents,146.0830798592473,Entreprises et administrations,2.41648439820336,361.4768538128731,euro/tCO2,MtCO2
