plf_effet;numero;sens;statut;justification
2019;800406;entree;explique;creation
2019;990101;entree;explique;classement
2019;110227;sortie;inexplique;
2019;110243;sortie;inexplique;
2019;170501;sortie;inexplique;
2019;180304;sortie;inexplique;
2019;230506;sortie;inexplique;
2019;520124;sortie;inexplique;
2019;800107;sortie;inexplique;
2019;800206;sortie;inexplique;
2020;040112;entree;inexplique;
2020;050112;entree;inexplique;
2020;090113;entree;inexplique;
2020;110265;entree;inexplique;
2020;120146;entree;inexplique;
2020;170106;entree;inexplique;
2020;200401;entree;inexplique;
2020;200402;entree;inexplique;
2020;200403;entree;inexplique;
2020;200404;entree;inexplique;
2020;200405;entree;inexplique;
2020;210326;entree;inexplique;
2020;230102;entree;inexplique;
2020;230103;entree;inexplique;
2020;230609;entree;inexplique;
2020;730226;entree;inexplique;
2020;730227;entree;inexplique;
2020;730228;entree;inexplique;
2020;730229;entree;inexplique;
2020;730230;entree;inexplique;
2020;730231;entree;inexplique;
2020;730232;entree;inexplique;
2020;730233;entree;inexplique;
2020;800219;entree;inexplique;
2020;820205;entree;inexplique;
2020;820206;entree;inexplique;
2020;920301;entree;inexplique;
2020;990201;entree;inexplique;
2020;110214;sortie;inexplique;
2020;110234;sortie;inexplique;
2020;120307;sortie;inexplique;
2020;190210;sortie;inexplique;
2020;200206;sortie;inexplique;
2020;210204;sortie;inexplique;
2020;210205;sortie;inexplique;
2020;300104;sortie;inexplique;
2020;300302;sortie;inexplique;
2020;400101;sortie;inexplique;
2020;400107;sortie;inexplique;
2020;400108;sortie;inexplique;
2020;400109;sortie;inexplique;
2020;400110;sortie;inexplique;
2020;400111;sortie;inexplique;
2020;400112;sortie;inexplique;
2020;400113;sortie;inexplique;
2020;400202;sortie;inexplique;
2020;400203;sortie;inexplique;
2020;730203;sortie;inexplique;
2020;730204;sortie;inexplique;
2020;730215;sortie;inexplique;
2020;730219;sortie;inexplique;
2020;730220;sortie;inexplique;
2020;730303;sortie;inexplique;
2020;740106;sortie;inexplique;
2020;800115;sortie;inexplique;
2020;800207;sortie;inexplique;
2020;800208;sortie;inexplique;
2020;800213;sortie;inexplique;
2020;800218;sortie;inexplique;
2020;800406;sortie;inexplique;
2021;040113;entree;explique;creation
2021;050113;entree;explique;creation
2021;090114;entree;explique;creation
2021;110266;entree;explique;creation
2021;110267;entree;explique;creation
2021;110268;entree;explique;creation
2021;160207;entree;explique;creation
2021;210327;entree;explique;creation
2021;230104;entree;explique;creation
2021;230105;entree;explique;creation,renumerotation
2021;230106;entree;explique;creation,renumerotation
2021;320144;entree;explique;creation
2021;520129;entree;explique;creation
2021;710108;entree;explique;creation
2021;710109;entree;explique;renumerotation
2021;710110;entree;explique;renumerotation
2021;720207;entree;explique;renumerotation
2021;800220;entree;explique;renumerotation
2021;800221;entree;explique;renumerotation
2021;800222;entree;explique;renumerotation
2021;800224;entree;explique;creation
2021;800225;entree;explique;creation
2021;800226;entree;explique;creation
2021;800227;entree;explique;creation
2021;800228;entree;explique;renumerotation
2021;800229;entree;explique;eclatement,renumerotation
2021;820207;entree;explique;creation
2021;820208;entree;explique;creation
2021;830101;entree;explique;eclatement
2021;830201;entree;explique;eclatement
2021;830202;entree;explique;eclatement
2021;830203;entree;explique;renumerotation
2021;830204;entree;explique;eclatement
2021;840101;entree;explique;renumerotation
2021;840201;entree;explique;eclatement
2021;840202;entree;explique;eclatement
2021;970102;entree;explique;creation
2021;970103;entree;explique;creation
2021;970104;entree;explique;creation
2021;120137;sortie;inexplique;
2021;120207;sortie;inexplique;
2021;120306;sortie;inexplique;
2021;130207;sortie;inexplique;
2021;140110;sortie;inexplique;
2021;140125;sortie;inexplique;
2021;150201;sortie;inexplique;
2021;150203;sortie;inexplique;
2021;160206;sortie;inexplique;
2021;200214;sortie;inexplique;
2021;200216;sortie;inexplique;
2021;200404;sortie;explique;renumerotation
2021;200405;sortie;explique;renumerotation
2021;210312;sortie;inexplique;
2021;210320;sortie;inexplique;
2021;210323;sortie;inexplique;
2021;230408;sortie;inexplique;
2021;230507;sortie;inexplique;
2021;700102;sortie;explique;renumerotation
2021;710104;sortie;inexplique;
2021;730225;sortie;explique;renumerotation
2021;730229;sortie;inexplique;
2021;730307;sortie;explique;renumerotation
2021;800103;sortie;explique;renumerotation
2021;800108;sortie;inexplique;
2021;800114;sortie;explique;renumerotation
2021;800217;sortie;inexplique;
2021;800219;sortie;explique;renumerotation
2021;800302;sortie;explique;renumerotation
2021;800403;sortie;explique;renumerotation
2021;800404;sortie;explique;renumerotation
2021;800405;sortie;explique;renumerotation
2022;090202;entree;explique;creation
2022;150210;entree;explique;creation
2022;210328;entree;explique;creation
2022;210329;entree;explique;creation
2022;210330;entree;explique;creation
2022;210331;entree;explique;creation
2022;220106;entree;explique;creation
2022;220107;entree;explique;creation
2022;260101;entree;explique;creation
2022;260201;entree;explique;creation
2022;320131;entree;explique;creation
2022;320145;entree;explique;creation
2022;320146;entree;explique;creation
2022;930101;entree;explique;creation
2022;930102;entree;explique;creation
2022;930103;entree;explique;creation
2022;940101;entree;explique;creation
2022;940102;entree;explique;creation
2022;940103;entree;explique;creation
2022;940201;entree;explique;creation
2022;940202;entree;explique;creation
2022;940203;entree;explique;creation
2022;970105;entree;explique;creation
2022;970106;entree;explique;creation
2022;990202;entree;explique;classement
2022;990301;entree;explique;classement
2022;040105;sortie;inexplique;
2022;040106;sortie;inexplique;
2022;050108;sortie;inexplique;
2022;060107;sortie;inexplique;
2022;110221;sortie;inexplique;
2022;120121;sortie;inexplique;
2022;140124;sortie;inexplique;
2022;170103;sortie;inexplique;
2022;170105;sortie;inexplique;
2022;170308;sortie;inexplique;
2022;180101;sortie;inexplique;
2022;190211;sortie;inexplique;
2022;200215;sortie;inexplique;
2022;210102;sortie;inexplique;
2022;210311;sortie;inexplique;
2022;220105;sortie;inexplique;
2022;230202;sortie;inexplique;
2022;230504;sortie;inexplique;
2022;230509;sortie;inexplique;
2022;300207;sortie;inexplique;
2022;320108;sortie;inexplique;
2022;320139;sortie;inexplique;
2022;550103;sortie;inexplique;
2022;570204;sortie;inexplique;
2022;710106;sortie;inexplique;
2022;720202;sortie;inexplique;
2022;800111;sortie;inexplique;
2022;920101;sortie;inexplique;
2022;920201;sortie;inexplique;
2022;970101;sortie;inexplique;
2023;110269;entree;explique;creation
2023;200311;entree;explique;creation
2023;210332;entree;explique;creation
2023;310206;entree;explique;classement
2023;320147;entree;explique;creation
2023;320148;entree;explique;creation
2023;820209;entree;explique;creation
2023;070101;sortie;inexplique;
2023;070203;sortie;inexplique;
2023;110257;sortie;inexplique;
2023;120301;sortie;inexplique;
2023;140107;sortie;inexplique;
2023;140121;sortie;explique;suppression
2023;140127;sortie;inexplique;
2023;210306;sortie;inexplique;
2023;220101;sortie;inexplique;
2023;230203;sortie;inexplique;
2023;310204;sortie;inexplique;
2023;520125;sortie;inexplique;
2023;800203;sortie;inexplique;
2024;130304;entree;explique;creation
2024;210333;entree;explique;creation
2024;530213;entree;explique;creation
2024;530214;entree;explique;creation
2024;530215;entree;inexplique;
2024;530216;entree;inexplique;
2024;530217;entree;inexplique;
2024;530218;entree;explique;classement,creation
2024;550106;entree;explique;classement,creation
2024;590101;entree;explique;creation
2024;730234;entree;explique;creation
2024;940104;entree;explique;creation
2024;970107;entree;explique;creation
2024;090105;sortie;inexplique;
2024;090201;sortie;explique;suppression
2024;110238;sortie;explique;suppression
2024;300205;sortie;inexplique;
2024;520129;sortie;inexplique;
2024;540102;sortie;explique;declassement
2024;570101;sortie;explique;declassement
2024;570102;sortie;explique;declassement
2024;950101;sortie;inexplique;
2024;950102;sortie;inexplique;
2024;950103;sortie;inexplique;
2025;070205;entree;explique;creation
2025;110270;entree;explique;creation
2025;110271;entree;explique;creation
2025;120147;entree;explique;creation
2025;140127;entree;explique;creation
2025;150714;entree;explique;creation
2025;170107;entree;explique;creation
2025;170108;entree;explique;creation
2025;180310;entree;explique;creation
2025;210334;entree;explique;creation
2025;220108;entree;explique;creation
2025;220109;entree;explique;creation
2025;520130;entree;explique;creation
2025;730235;entree;explique;creation
2025;800120;entree;explique;creation
2025;900101;entree;explique;classement
2025;940204;entree;explique;creation
2025;090106;sortie;inexplique;
2025;090202;sortie;inexplique;
2025;110222;sortie;inexplique;
2025;110247;sortie;inexplique;
2025;110264;sortie;inexplique;
2025;220106;sortie;inexplique;
2025;260101;sortie;inexplique;
2025;260201;sortie;inexplique;
2025;530211;sortie;inexplique;
2025;920301;sortie;explique;declassement
