plf;numero;impot;perimetre;libelle;finalite;creation;modification;fin_fait_generateur;fin_incidence;beneficiaires;fiabilite;norme;methode;reference;mission;changement_methode;regime;page_source
2016;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Aider le secteur artistique (jeunes artistes plastiques);2005;2005;dépense fiscale non-bornée;dépense fiscale non-bornée;665 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;93-9 BÉNÉFICES AGRICOLES Bénéfices agricoles                                     2014    2015       2016 N° de la mesure                                                        Mesure Déductions;Culture / Création (P131);;B;98
2017;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Aider le secteur artistique (jeunes artistes plastiques);2005;2005;dépense fiscale non-bornée;dépense fiscale non-bornée;707 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;93-9 BÉNÉFICES AGRICOLES Bénéfices agricoles                                     2015    2016       2017 N° de la mesure                                                        Mesure Déductions;Culture / Création (P131);;B;100
2018;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;;2005;2005;dépense fiscale non-bornée;dépense fiscale non-bornée;692 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;93-9 BÉNÉFICES AGRICOLES Bénéfices agricoles                                          2016    2017       2018 N° de la mesure                                                            Mesure Déductions;Culture / Création (P131);;B;100
2019;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plast;;2005;2005;dépense fiscale non-bornée;dépense fiscale non-bornée;553 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;93-9 PLF 2019                                                                                  107 BÉNÉFICES AGRICOLES Bénéfices agricoles                                            2017      2018       2019 N° de la mesure                                                            Mesure Déductions;Culture / Création (P131);;B;106
2020;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;;2005;2005;non borné;non bornée;463 Entreprises;Bonne;Absence d'abattement;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 93-9;Culture/ P131 Création;;C;
2021;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Aider le secteur artistique (jeunes artistes plastiques);2005;2005;non borné;non bornée;431 Entreprises;Bonne;Absence d'abattement;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 93-9;Culture/ P131 Création;;C;92
2022;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Aider le secteur artistique (jeunes artistes plastiques);2005;2005;non borné;non bornée;381 Entreprises;Bonne;Absence d'abattement;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 93-9;Culture/ P131 Création;;C;92
2023;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Aider le secteur artistique (jeunes artistes plastiques);2005;2005;non borné;non bornée;343 Entreprises;Bonne;Absence d'abattement;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 93-9;Culture/ P131 Création;;C;92
2024;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Aider le secteur artistique (jeunes artistes plastiques);2005;2005;non borné;non bornée;299 Entreprises;Bonne;Absence d'abattement;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 93-9;Culture/ P131 Création;;C;92
2025;160406;Impôt sur le revenu;depense_fiscale;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Aider le secteur artistique (jeunes artistes plastiques);2005;2005;non borné;non bornée;327 Entreprises;Bonne;Absence d'abattement;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 93-9;Culture/ P131 Création;;C;92
2009;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l’investissement;Aider le secteur agricole;1986;2005;;;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;74
2010;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l’investissement;Aider le secteur agricole;1986;2008;;;110 000 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;86
2011;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l’investissement;Aider le secteur agricole;1986;2008;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;115 000 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;80
2012;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l’investissement;Aider le secteur agricole;1986;2008;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;85 000 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;112
2013;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l’investissement;Aider le secteur agricole;1986;2008;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;88 000 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;110
2014;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l’investissement;Aider le secteur agricole;1986;2008;dépense fiscale non-bornée;dépense fiscale non-bornée;122 000 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D et 72 D ter;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);oui;B;112
2015;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l’investissement;Aider le secteur agricole;1986;2013;dépense fiscale non-bornée;dépense fiscale non-bornée;114 000 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D et 72 D ter;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;114
2016;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l'investissement;Aider le secteur agricole;1986;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;62 800 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D et 72 D ter;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l'agriculture et des territoires (P154);;B;100
2017;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l'investissement;Aider le secteur agricole;1986;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;47 900 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D et 72 D ter;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable des entreprises agricoles, agroalimentaires et forestières (P149);;B;102
2018;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l'investissement;;1986;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;40 800 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D et 72 D ter;Agriculture, alimentation, forêt et affaires rurales / Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture (P149);;B;102
2019;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l'investissement;;1986;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;41 300 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D et 72 D ter;Agriculture, alimentation, forêt et affaires rurales / Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture (P149);;B;106
2020;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l'investissement;;1986;2018;2018;2018;38 200 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 72 D et 72 D ter;;;C;
2021;170103;Impôt sur le revenu;depense_fiscale;Déduction spécifique à l'investissement;Aider le secteur agricole;1986;2018;2018;2019;43 800 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 72 D et 72 D ter;;;C;92
2009;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2006;;;600 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis Abattements;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);oui;B;74
2010;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2008;;;670 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis Abattements;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;86
2011;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2010;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;1 100 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis Abattements;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;80
2012;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2010;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;900 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis Abattements;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;112
2013;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2010;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;900 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis Abattements;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;110
2014;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2010;dépense fiscale non-bornée;dépense fiscale non-bornée;2 500 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis et 72 D ter Abattements;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;112
2015;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2010;dépense fiscale non-bornée;dépense fiscale non-bornée;5 800 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis et 72 D ter Abattements;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;114
2016;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;11 400 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis et 72 D ter Abattements;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l'agriculture et des territoires (P154);;B;100
2017;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2015;dépense fiscale non-bornée;dépense fiscale non-bornée;6 900 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis et 72 D ter Abattements;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable des entreprises agricoles, agroalimentaires et forestières (P149);;B;102
2018;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;;2001;2015;dépense fiscale non-bornée;dépense fiscale non-bornée;5 000 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis et 72 D ter Abattements;Agriculture, alimentation, forêt et affaires rurales / Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture (P149);;B;102
2019;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;;2001;2015;dépense fiscale non-bornée;dépense fiscale non-bornée;5 700 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;72 D bis et 72 D ter Abattements;Agriculture, alimentation, forêt et affaires rurales / Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture (P149);;B;106
2020;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;;2001;2018;2018;2018;4 700 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 72 D bis et 72 D ter;;;C;
2021;170105;Impôt sur le revenu;depense_fiscale;Déduction pour aléas;Aider le secteur agricole;2001;2018;2018;2019;3 900 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 72 D bis et 72 D ter;;;C;92
2020;170106;Impôt sur le revenu;depense_fiscale;Déduction de précaution;;2018;2018;2022;2023;;Ordre de grandeur;Absence de déduction;Simulation;code général des impôts 73;;;C;
2021;170106;Impôt sur le revenu;depense_fiscale;Déduction de précaution;Aider le secteur agricole;2018;2018;2022;2023;0 Entreprises;;Absence de déduction;;code général des impôts 73;;;C;92
2022;170106;Impôt sur le revenu;depense_fiscale;Déduction de précaution;Aider le secteur agricole;2018;2020;2022;2023;20 874 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 73;;;C;92
2023;170106;Impôt sur le revenu;depense_fiscale;Déduction de précaution;Aider le secteur agricole;2018;2020;2022;2023;28 403 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 73;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire;;C;92
2024;170106;Impôt sur le revenu;depense_fiscale;Déduction de précaution;Aider le secteur agricole;2018;2023;2025;2026;30 975 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 73;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de;;C;92
2025;170106;Impôt sur le revenu;depense_fiscale;Déduction de précaution;Aider le secteur agricole;2018;2024;2025;2026;48 346 Entreprises;Bonne;Absence de déduction;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 73;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de;;C;92
2025;170107;Impôt sur le revenu;depense_fiscale;Déduction fiscale pour valorisation du cheptel Limiter les effets de l’inflation sur la détermination du résultat imposable des méthodes de valorisation des stocks de vaches laitières et allaitantes;;2024;;2024;2025;0 Entreprises;;Absence de déduction;;Loi n°2023-1322 du 29 décembre 2023 de finances pour 2024 - Article 70;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de;;C;92
2025;170108;Impôt sur le revenu;depense_fiscale;Provision pour augmentation de la valeur des stocks de vaches laitières et allaitantes lutter contre la décapitalisation du cheptel bovin français et assurer la souveraineté alimentaire nationale.;Limiter les effets sur la détermination du résultat imposable des méthodes de valorisation de ces stocks en période de forte inflation,;2025;;2027;2033;0 Entreprises;;Absence de déduction;;code général des impôts 73 A;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de;;C;92
2009;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;;;18 000 entreprises;Très bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;73 B Régimes spéciaux d’imposition;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;74
2010;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;;;17 800 entreprises;Très bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;73 B Régimes spéciaux d’imposition;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;86
2011;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;17 700 entreprises;Très bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;73 B Numéro                                              Bénéfices agricoles                                              2009   2010         2011 de la mesure                                                     Mesure Régimes spéciaux d’imposition;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;80
2012;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;16 500 entreprises;Très bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;73 B Numéro                                              Bénéfices agricoles                                              2010   2011         2012 de la mesure                                                     Mesure Régimes spéciaux d’imposition;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;112
2013;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;17 300 entreprises;Très bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;73 B Numéro                                              Bénéfices agricoles                                                 2011   2012         2013 de la mesure                                                     Mesure Régimes spéciaux d’imposition;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;110
2014;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;18 420 entreprises;Très bonne;;Simulation;73 B Numéro                                              Bénéfices agricoles                                                 2012   2013         2014 de la mesure                                                     Mesure Régimes spéciaux d’imposition;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;112
2015;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;17 590 entreprises;Très bonne;;Simulation;73 B Numéro                                              Bénéfices agricoles                                                 2013   2014         2015 de la mesure                                                     Mesure Régimes spéciaux d’imposition;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;114
2016;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;16 296 entreprises;Très bonne;;Simulation;73 B Régimes spéciaux d'imposition;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l'agriculture et des territoires (P154);;B;100
2017;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;15 014 entreprises;Très bonne;;Simulation;73 B Régimes spéciaux d'imposition;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable des entreprises agricoles, agroalimentaires et forestières (P149);;B;102
2018;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;;1992;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;14 365 entreprises;Très bonne;;Simulation;73 B Régimes spéciaux d'imposition;Agriculture, alimentation, forêt et affaires rurales / Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture (P149);;B;102
2019;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;;1992;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;13 770 entreprises;Très bonne;;Simulation;73 B Régimes spéciaux d'imposition;Agriculture, alimentation, forêt et affaires rurales / Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture (P149);;B;106
2020;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;;1992;2006;non borné;non bornée;14 053 Entreprises;Très bonne;Absence d'abattement;Simulation;code général des impôts 73 B;;;C;
2021;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;non borné;non bornée;14 763 Entreprises;Très bonne;Absence d'abattement;Simulation;code général des impôts 73 B;;;C;92
2022;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;non borné;non bornée;14 533 Entreprises;Très bonne;Absence d'abattement;Simulation;code général des impôts 73 B;;;C;92
2023;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;non borné;non bornée;14 012 Entreprises;Très bonne;Absence d'abattement;Simulation;code général des impôts 73 B;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire;;C;92
2024;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;non borné;non bornée;14 176 Entreprises;Très bonne;Absence d'abattement;Simulation;code général des impôts 73 B;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de;;C;92
2025;170201;Impôt sur le revenu;depense_fiscale;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Aider le secteur agricole;1992;2006;non borné;non bornée;14 276 Entreprises;Très bonne;Absence d'abattement;Simulation;code général des impôts 73 B;Agriculture, alimentation, forêt et affaires rurales/ P149 Compétitivité et durabilité de l'agriculture, de;;C;92
2009;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d’un exploitant agricole soumis à un régime réel d’imposition par fractions égales, aux résultats de l’exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;;;80 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A Numéro                                              Bénéfices agricoles                                              2007   2008         2009 de la mesure                                                     Mesure Exonérations;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);oui;B;74
2010;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d’un exploitant agricole soumis à un régime réel d’imposition par fractions égales, aux résultats de l’exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;;;200 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A Numéro                                              Bénéfices agricoles                                              2008   2009         2010 de la mesure                                                     Mesure Exonérations;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;86
2011;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d’un exploitant agricole soumis à un régime réel d’imposition par fractions égales, aux résultats de l’exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A Exonérations;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;82
2012;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d’un exploitant agricole soumis à un régime réel d’imposition par fractions égales, aux résultats de l’exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;150 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A Exonérations;Agriculture, pêche, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture, de la pêche et des territoires (P154);;B;114
2013;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d’un exploitant agricole soumis à un régime réel d’imposition par fractions égales, aux résultats de l’exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A Exonérations;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;112
2014;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d’un exploitant agricole soumis à un régime réel d’imposition par fractions égales, aux résultats de l’exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;114
2015;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d’un exploitant agricole soumis à un régime réel d’imposition par fractions égales, aux résultats de l’exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l’agriculture et des territoires (P154);;B;116
2016;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d'un exploitant agricole soumis à un régime réel d'imposition par fractions égales, aux résultats de l'exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A PLF 2016                                                                               101 Bénéfices agricoles                                         2014      2015       2016 N° de la mesure                                                       Mesure;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable de l'agriculture et des territoires (P154);;B;100
2017;170306;Impôt sur le revenu;depense_fiscale;Rattachement du revenu exceptionnel d'un exploitant agricole soumis à un régime réel d'imposition par fractions égales, aux résultats de l'exercice de sa réalisation et des six exercices suivants;Aider le secteur agricole;2005;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;75-0 A PLF 2017                                                                               103 Bénéfices agricoles                                         2015      2016       2017 N° de la mesure                                                       Mesure;Agriculture, alimentation, forêt et affaires rurales / Économie et développement durable des entreprises agricoles, agroalimentaires et forestières (P149);;B;102
