plf;numero;impot;perimetre;libelle;finalite;creation;modification;fin_fait_generateur;fin_incidence;beneficiaires;fiabilite;norme;methode;reference;mission;changement_methode;regime;page_source
2024;800209;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit (remboursement) pour les gazoles utilisés pour les engins à l’arrêt équipant les véhicules de transport de marchandises et les véhicules à usages spéciaux (dépanneuses, camions-grues…);Aider le secteur agricole et le secteur du bâtiment et travaux publics;2007;2019;2023;2023;0 Entreprises;Bonne;Tarif applicable au produit d'indice 22 conformément au 1 du tableau B de l'article 265 du code des;Reconstitution de base taxable à partir de données autres que fiscales;code des impositions sur les biens et les services L. 312-35, al.3;Écologie, développement et mobilité durables/ P203 Infrastructures et services de transports;;C;92
2025;800209;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit (remboursement) pour les gazoles utilisés pour les engins à l’arrêt équipant les véhicules de transport de marchandises et les véhicules à usages spéciaux (dépanneuses, camions-grues…);Aider le secteur agricole et le secteur du bâtiment et travaux publics;2007;2024;2029;2030;0 Entreprises;Bonne;Tarif applicable au produit d'indice 22 conformément au 1 du tableau B de l'article 265 du code des;Reconstitution de base taxable à partir de données autres que fiscales;code des impositions sur les biens et les services L. 312-35, al.3;Écologie, développement et mobilité durables/ P203 Infrastructures et services de transports;;C;92
2015;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation sur les produits énergétiques, le gaz naturel et les charbons au profit des installations intensives en énergie et soumises au régime des quotas d’émission de gaz à effet de serre de la directive 2003/87/CE;Eviter la double taxation du carbone;2013;2013;dépense fiscale non-bornée;dépense fiscale non-bornée;0 entreprises;;;;265 nonies PLF 2015                                                                                                 181 Numéro                          Taxe intérieure de consommation sur les produits énergétiques                                2013     2014         2015 de la mesure                                                        Mesure Détaxe;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;180
2016;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation sur les produits énergétiques, le gaz naturel et les charbons au profit des installations intensives en énergie et soumises au régime des quotas d'émission de gaz à effet de serre de la directive 2003/87/CE;Eviter la double taxation du carbone;2013;2013;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;;265 nonies;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);oui;B;160
2017;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation sur les produits énergétiques, le gaz naturel et les charbons au profit des installations intensives en énergie et soumises au régime des quotas d'émission de gaz à effet de serre de la directive 2003/87/CE;Eviter la double taxation du carbone;2013;2013;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;;265 nonies;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;162
2018;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation sur les produits énergétiques, le gaz naturel et les charbons au profit des installations intensives en énergie et soumises au régime des quotas d'émission de gaz à effet de serre de la directive 2003/87/CE;;2013;2013;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;;265 nonies PLF 2018                                                                                 157 ÉNERGÉTIQUES Taxe intérieure de consommation sur les produits énergétiques                      2016      2017       2018 N° de la mesure                                                        Mesure;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;156
2019;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure de consommation pour les produits énergétiques utilisés da les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS;;2013;2013;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;;265 nonies (premier alinéa) PLF 2019                                                                               165 ÉNERGÉTIQUES Taxe intérieure de consommation sur les produits énergétiques                     2017      2018       2019 N° de la mesure                                                       Mesure;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;164
2020;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure de consommation pour les produits énergétiques utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS;;2013;2013;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;"code des douanes ""Non codifié"" 265 nonies (premier alinéa)";Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;
2021;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour les produits énergétiques utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS;Éviter la double taxation du carbone;2013;2013;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des douanes 265 nonies (premier alinéa);Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2022;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarifs réduits pour les produits énergétiques (hors gaz naturel et charbon) utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS;Aider certains secteurs industriels;2013;2013;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des douanes 265 nonies (premier et deuxième alinéas);Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
