numero;annee;impot;prevu;realise;ecart
730213;2021;Taxe sur la valeur ajoutée;3360;3990;630
730205;2010;Taxe sur la valeur ajoutée;1560;940;-620
800210;2019;TICPE / produits énergétiques hors gaz et charbons;620;9;-611
710102;2001;Taxe sur la valeur ajoutée;730;124;-606
320113;2001;Impôt sur les sociétés;690;85;-605
150205;2001;Impôt sur le revenu;800;200;-600
190204;2006;Impôt sur le revenu;800;200;-600
200302;2017;Impôt sur le revenu et impôt sur les sociétés;5505;6100;595
730221;2021;Taxe sur la valeur ajoutée;3020;3605;585
730207;2019;Taxe sur la valeur ajoutée;1006;423;-583
730207;2020;Taxe sur la valeur ajoutée;963;385;-578
190204;2001;Impôt sur le revenu;1000;425;-575
110222;2006;Impôt sur le revenu;420;990;570
710103;2018;Taxe sur la valeur ajoutée;1500;2070;570
520109;2001;Droits d'enregistrement et de timbre;600;37;-563
730203;2009;Taxe sur la valeur ajoutée;390;950;560
210204;2017;Impôt sur le revenu et impôt sur les sociétés;1020;460;-560
800401;2024;TICPE / produits énergétiques hors gaz et charbons;2022;1466;-556
730203;2008;Taxe sur la valeur ajoutée;360;900;540
730223;2021;Taxe sur la valeur ajoutée;1230;1760;530
730210;2003;Taxe sur la valeur ajoutée;633;105;-528
130301;2001;Impôt sur le revenu;600;75;-525
730210;2016;Taxe sur la valeur ajoutée;1630;2155;525
300107;2001;Impôt sur les sociétés;570;48;-522
800201;2021;TICPE / produits énergétiques hors gaz et charbons;600;1115;515
110109;2001;Impôt sur le revenu;590;80;-510
120305;2001;Impôt sur le revenu;600;93;-507
410201;2001;Autres impôts directs;590;90;-500
150708;2007;Impôt sur le revenu;0;500;500
150708;2008;Impôt sur le revenu;0;500;500
800109;2011;TICPE / produits énergétiques hors gaz et charbons;3500;3000;-500
710103;2017;Taxe sur la valeur ajoutée;1300;1800;500
520305;2006;Droits d'enregistrement et de timbre;210;700;490
730221;2024;Taxe sur la valeur ajoutée;1536;2025;489
110210;2001;Impôt sur le revenu;600;115;-485
710104;2001;Taxe sur la valeur ajoutée;570;87;-483
800401;2019;TICPE / produits énergétiques hors gaz et charbons;1272;1755;483
320119;2024;Impôt sur les sociétés;1100;625;-475
730213;2006;Taxe sur la valeur ajoutée;0;470;470
210313;2007;Impôt sur le revenu et impôt sur les sociétés;770;300;-470
730213;2015;Taxe sur la valeur ajoutée;2940;3410;470
730306;2001;Taxe sur la valeur ajoutée;570;105;-465
120108;2020;Impôt sur le revenu;1785;2250;465
400302;2001;Autres impôts directs;570;107;-463
730203;2013;Taxe sur la valeur ajoutée;1200;740;-460
800403;2010;TICPE / produits énergétiques hors gaz et charbons;744;292;-452
120201;2004;Impôt sur le revenu;480;30;-450
520110;2009;Droits d'enregistrement et de timbre;20;470;450
140203;2010;Impôt sur le revenu;800;1250;450
730223;2022;Taxe sur la valeur ajoutée;1460;1010;-450
800401;2001;TICPE / produits énergétiques hors gaz et charbons;510;61;-449
740106;2016;Taxe sur la valeur ajoutée;205;650;445
740106;2017;Taxe sur la valeur ajoutée;210;655;445
720107;2023;Taxe sur la valeur ajoutée;680;235;-445
520305;2003;Droits d'enregistrement et de timbre;706;265;-441
410104;2001;Autres impôts directs;560;126;-434
300210;2016;Impôt sur les sociétés;47;480;433
820203;2024;TICFE / électricité;0;428;428
220101;2001;Impôt sur le revenu et impôt sur les sociétés;500;75;-425
210324;2019;Impôt sur le revenu et impôt sur les sociétés;19621;19198;-423
210320;2010;Impôt sur le revenu et impôt sur les sociétés;500;85;-415
120117;2009;Impôt sur le revenu;850;440;-410
110227;2010;Impôt sur le revenu;3200;3610;410
730213;2017;Taxe sur la valeur ajoutée;3410;3000;-410
410101;2006;Autres impôts directs;430;25;-405
140203;2013;Impôt sur le revenu;1300;1703;403
120201;2005;Impôt sur le revenu;430;30;-400
140119;2012;Impôt sur le revenu;1000;1400;400
730203;2012;Taxe sur la valeur ajoutée;1100;700;-400
300102;2024;Impôt sur les sociétés;800;400;-400
200302;2018;Impôt sur le revenu et impôt sur les sociétés;5802;6200;398
140119;2003;Impôt sur le revenu;395;0;-395
210313;2006;Impôt sur le revenu et impôt sur les sociétés;515;120;-395
120136;2009;Impôt sur le revenu;900;1290;390
120108;2019;Impôt sur le revenu;1660;2050;390
110222;2018;Impôt sur le revenu;1560;1948;388
800210;2018;TICPE / produits énergétiques hors gaz et charbons;515;903;388
140119;2013;Impôt sur le revenu;1200;1584;384
130101;2001;Impôt sur le revenu;450;69;-381
120117;2006;Impôt sur le revenu;520;900;380
730210;2010;Taxe sur la valeur ajoutée;750;1130;380
730207;2012;Taxe sur la valeur ajoutée;1055;675;-380
730303;2013;Taxe sur la valeur ajoutée;1920;1540;-380
730205;2020;Taxe sur la valeur ajoutée;870;495;-375
800103;2001;TICPE / produits énergétiques hors gaz et charbons;435;65;-370
730213;2003;Taxe sur la valeur ajoutée;0;370;370
520305;2011;Droits d'enregistrement et de timbre;290;660;370
120114;2012;Impôt sur le revenu;830;1200;370
730210;2015;Taxe sur la valeur ajoutée;1430;1800;370
220107;2022;Impôt sur le revenu et impôt sur les sociétés;2600;2970;370
210324;2020;Impôt sur le revenu et impôt sur les sociétés;9019;8650;-369
120401;2014;Impôt sur le revenu;3600;3967;367
800401;2018;TICPE / produits énergétiques hors gaz et charbons;1169;1534;365
730205;2022;Taxe sur la valeur ajoutée;800;440;-360
120146;2024;Impôt sur le revenu;1787;2144;357
800102;2001;TICPE / produits énergétiques hors gaz et charbons;415;60;-355
730303;2012;Taxe sur la valeur ajoutée;1140;1495;355
800401;2023;TICPE / produits énergétiques hors gaz et charbons;1511;1158;-353
120113;2001;Impôt sur le revenu;360;9;-351
300102;2007;Impôt sur les sociétés;300;650;350
120117;2008;Impôt sur le revenu;850;500;-350
