millesime,case,sum,label,ntot
2024,_911250,3223115536,TOTAL TICGN DUE - TICGN Fournisseur,3234
2025,_911250,2759534784,TOTAL TICGN DUE - TICGN Fournisseur,2057
2022,_911251,4517169,Usage autre que carburant ou combustible - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911251,4880041,Usage autre que carburant ou combustible - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911251,5218643,Usage autre que carburant ou combustible - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911251,3115143,Usage autre que carburant ou combustible - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911252,10529068,Double usage - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911252,12704425,Double usage - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911252,13091185,Double usage - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911252,11741741,Double usage - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911253,13836964,Fabrication de minéraux non métalliques - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911253,14312955,Fabrication de minéraux non métalliques - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911253,13833258,Fabrication de minéraux non métalliques - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911253,11222124,Fabrication de minéraux non métalliques - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911254,16881158,Production de produits énergétiques - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911254,19399604,Production de produits énergétiques - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911254,26420209,Production de produits énergétiques - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911254,15790106,Production de produits énergétiques - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911255,31511976,Production d'électricité - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911255,25945306,Production d'électricité - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911255,14160281,Production d'électricité - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911255,10490570,Production d'électricité - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911256,564400,Production ou extraction de gaz naturel - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911256,1113546,Production ou extraction de gaz naturel - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911256,0,Production ou extraction de gaz naturel - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911256,0,Production ou extraction de gaz naturel - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911257,150305,Biogaz - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911257,661038,Biogaz - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911257,467170,Biogaz - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911257,203945,Biogaz - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911258,1426701,Avitaillement des navires en GNL - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911258,2559100,Avitaillement des navires en GNL - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911258,2923185,Avitaillement des navires en GNL - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911258,0,Avitaillement des navires en GNL - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911259,79417741,TOTAL - TICGN Fournisseur - QUANTITES EXEMPTEES,3106
2023,_911259,81576015,TOTAL - TICGN Fournisseur - QUANTITES EXEMPTEES,3215
2024,_911259,76113931,TOTAL - TICGN Fournisseur - QUANTITES EXEMPTEES,3234
2025,_911259,54874953,TOTAL - TICGN Fournisseur - QUANTITES EXEMPTEES,2057
2022,_911260,388607968,TOTAL QUANTITES FACTUREES - TICGN Fournisseur,3106
2023,_911260,358165570,TOTAL QUANTITES FACTUREES - TICGN Fournisseur,3215
2024,_911260,362303380,TOTAL QUANTITES FACTUREES - TICGN Fournisseur,3234
2025,_911260,262366955,TOTAL QUANTITES FACTUREES - TICGN Fournisseur,2057
